Start,End
01:10:15.753,01:10:17.797
01:10:17.797,01:10:19.507
01:10:19.507,01:10:29.308
01:10:29.308,01:10:34.939
01:10:34.939,01:11:02.467
01:11:02.467,01:11:07.513
01:11:07.513,01:11:16.898
01:11:16.898,01:11:45.843
01:11:45.843,01:11:47.970
01:11:47.970,01:11:52.975
01:11:52.975,01:11:55.686
01:11:55.686,01:11:58.814
01:11:58.814,01:11:59.607
01:11:59.607,01:12:00.691
01:12:00.691,01:12:01.692
01:12:01.692,01:12:02.818
01:12:02.818,01:12:03.528
01:12:03.528,01:12:06.197
01:12:06.197,01:12:07.823
01:12:07.823,01:12:10.201
01:12:10.201,01:12:12.286
01:12:12.286,01:12:15.957
01:12:15.957,01:12:17.291
01:12:17.291,01:12:21.212
01:12:21.212,01:12:22.505
01:12:22.505,01:12:23.631
01:12:23.631,01:12:25.424
01:12:25.424,01:12:26.259
01:12:26.259,01:12:31.138
01:12:31.138,01:12:33.099
01:12:33.099,01:12:34.976
01:12:34.976,01:12:37.061
01:12:37.061,01:12:38.479
01:12:38.479,01:12:40.982
01:12:40.982,01:12:43.568
01:12:43.568,01:12:44.485
01:12:44.485,01:12:45.278
01:12:45.278,01:12:48.573
01:12:48.573,01:12:51.951
01:12:51.951,01:12:56.998
01:12:56.998,01:13:01.419
01:13:01.419,01:13:03.921
01:13:03.921,01:13:06.340
01:13:06.340,01:13:08.175
01:13:08.175,01:13:09.510
01:13:09.510,01:13:11.846
01:13:11.846,01:13:12.972
01:13:12.972,01:13:14.640
01:13:14.640,01:13:15.850
01:13:15.850,01:13:17.268
01:13:17.268,01:13:20.646
01:13:20.646,01:13:21.772
01:13:21.772,01:13:29.530
01:13:29.530,01:13:30.531
01:13:30.531,01:13:34.785
01:13:34.785,01:13:35.661
01:13:35.661,01:13:36.537
01:13:36.537,01:13:37.788
01:13:37.788,01:13:39.999
01:13:39.999,01:13:40.958
01:13:40.958,01:13:42.585
01:13:42.585,01:13:44.420
01:13:44.420,01:13:46.672
01:13:46.672,01:13:49.008
01:13:49.008,01:14:01.187
01:14:01.187,01:14:06.984
01:14:06.984,01:14:08.611
01:14:08.611,01:14:09.695
01:14:09.695,01:14:10.363
01:14:10.363,01:14:16.869
01:14:16.869,01:14:18.663
01:14:18.663,01:14:20.581
01:14:20.581,01:14:21.332
01:14:21.332,01:14:25.836
01:14:25.836,01:14:27.338
01:14:27.338,01:14:37.682
01:14:37.682,01:14:52.571
01:14:52.571,01:14:53.197
01:14:53.197,01:14:55.366
01:14:55.366,01:15:00.913
01:15:00.913,01:15:03.457
01:15:03.457,01:15:05.668
01:15:05.668,01:15:13.884
01:15:13.884,01:15:14.760
01:15:14.760,01:15:18.431
01:15:18.431,01:15:22.893
01:15:22.893,01:15:35.406
01:15:35.406,01:15:45.291
01:15:45.291,01:15:51.839
01:15:51.839,01:15:54.425
01:15:54.425,01:16:48.312
01:16:48.312,01:16:59.907
01:16:59.907,01:17:01.367
01:17:01.367,01:17:03.869
01:17:03.869,01:17:06.705
01:17:06.705,01:17:09.250
01:17:09.250,01:17:16.173
01:17:16.173,01:17:18.676
01:17:18.676,01:17:20.344
01:17:20.344,01:17:30.855
01:17:30.855,01:17:39.572
01:17:39.572,01:17:43.367
01:17:43.367,01:17:48.873
01:17:48.873,01:17:56.714
01:17:56.714,01:18:06.348
01:18:06.348,01:18:10.144
01:18:10.144,01:18:29.246
01:18:29.246,01:18:38.297
01:18:38.297,01:19:03.739
01:19:03.739,01:19:07.493
01:19:07.493,01:19:08.786
01:19:08.786,01:19:09.828
01:19:09.828,01:19:11.121
01:19:11.121,01:19:11.997
01:19:11.997,01:19:13.999
01:19:13.999,01:19:15.292
01:19:15.292,01:19:17.169
01:19:17.169,01:19:18.295
01:19:18.295,01:19:21.298
01:19:21.298,01:19:26.387
01:19:26.387,01:19:29.348
01:19:29.348,01:19:30.349
01:19:30.349,01:19:31.809
01:19:31.809,01:19:33.477
01:19:33.477,01:19:34.728
01:19:34.728,01:19:35.771
01:19:35.771,01:19:37.147
01:19:37.147,01:19:38.399
01:19:38.399,01:19:39.149
01:19:39.149,01:19:39.817
01:19:39.817,01:19:41.026
01:19:41.026,01:19:44.655
01:19:44.655,01:19:46.282
01:19:46.282,01:19:52.329
01:19:52.329,01:19:56.458
01:19:56.458,01:19:58.085
01:19:58.085,01:20:02.548
01:20:02.548,01:20:33.579
01:20:33.579,01:20:47.926
01:20:47.926,01:21:10.866
01:21:10.866,01:21:11.909
01:21:11.909,01:21:15.037
01:21:15.037,01:21:15.788
01:21:15.788,01:21:18.582
01:21:18.582,01:21:19.750
01:21:19.750,01:21:22.252
01:21:22.252,01:21:42.564
01:21:42.564,01:21:43.440
