Start,End
00:48:38.460,00:48:42.506
00:48:42.506,00:48:47.511
00:48:47.511,00:48:49.471
00:48:49.471,00:48:57.271
00:48:57.271,00:48:58.272
00:48:58.272,00:48:59.523
00:48:59.523,00:49:02.818
00:49:02.818,00:49:08.448
00:49:08.448,00:49:23.547
00:49:23.547,00:49:42.274
00:49:42.274,00:49:50.407
00:49:50.407,00:50:00.792
00:50:00.792,00:50:05.964
00:50:05.964,00:50:07.257
00:50:07.257,00:50:11.011
00:50:11.011,00:50:12.596
00:50:12.596,00:50:30.489
00:50:30.489,00:50:32.491
00:50:32.491,00:50:41.291
00:50:41.291,00:50:43.043
00:50:43.043,00:50:47.089
00:50:47.089,00:50:48.632
00:50:48.632,00:50:53.887
00:50:53.887,00:50:56.014
00:50:56.014,00:50:57.850
00:50:57.850,00:50:59.351
00:50:59.351,00:51:00.352
00:51:00.352,00:51:03.897
00:51:03.897,00:51:05.399
00:51:05.399,00:51:10.904
00:51:10.904,00:51:17.828
00:51:17.828,00:51:32.634
00:51:32.634,00:51:41.685
00:51:41.685,00:51:43.854
00:51:43.854,00:51:50.152
00:51:50.152,00:51:53.864
00:51:53.864,00:51:55.490
00:51:55.490,00:51:59.369
00:51:59.369,00:52:09.588
00:52:09.588,00:52:13.509
00:52:13.509,00:52:16.887
00:52:16.887,00:52:19.556
00:52:19.556,00:52:25.395
00:52:25.395,00:52:26.313
00:52:26.313,00:52:27.272
00:52:27.272,00:52:28.065
00:52:28.065,00:52:30.234
00:52:30.234,00:52:31.068
00:52:31.068,00:52:34.196
00:52:34.196,00:52:41.954
00:52:41.954,00:52:43.121
00:52:43.121,00:52:48.001
00:52:48.001,00:52:51.338
00:52:51.338,00:53:05.894
00:53:05.894,00:53:08.272
00:53:08.272,00:53:16.530
00:53:16.530,00:53:17.239
00:53:17.239,00:53:21.827
00:53:21.827,00:53:24.496
00:53:24.496,00:53:36.592
00:53:36.592,00:53:37.801
00:53:37.801,00:54:03.702
00:54:03.702,00:54:05.037
00:54:05.037,00:54:12.669
00:54:12.669,00:54:16.632
00:54:16.632,00:54:20.469
00:54:20.469,00:54:29.895
00:54:29.895,00:54:33.440
00:54:33.440,00:54:35.859
00:54:35.859,00:54:36.818
00:54:36.818,00:54:40.614
00:54:40.614,00:54:42.449
00:54:42.449,00:54:44.826
00:54:44.826,00:54:46.912
00:54:46.912,00:54:50.082
00:54:50.082,00:54:54.670
00:54:54.670,00:54:56.672
00:54:56.672,00:54:58.799
00:54:58.799,00:55:02.803
00:55:02.803,00:55:09.101
00:55:09.101,00:55:11.937
00:55:11.937,00:55:14.565
00:55:14.565,00:55:17.192
00:55:17.192,00:55:18.652
00:55:18.652,00:55:23.323
00:55:23.323,00:55:24.366
00:55:24.366,00:55:26.451
00:55:26.451,00:55:29.413
00:55:29.413,00:55:33.208
00:55:33.208,00:55:36.545
00:55:36.545,00:55:46.555
00:55:46.555,00:55:55.314
00:55:55.314,00:56:05.824
00:56:05.824,00:56:13.415
00:56:13.415,00:56:17.419
00:56:17.419,00:56:18.045
00:56:18.045,00:56:22.299
00:56:22.299,00:56:26.428
00:56:26.428,00:56:31.725
00:56:31.725,00:56:44.279
00:56:44.279,00:56:49.326
00:56:49.326,00:56:55.040
00:56:55.040,00:56:57.167
00:56:57.167,00:57:02.172
00:57:02.172,00:57:03.632
00:57:03.632,00:57:04.842
00:57:04.842,00:57:06.260
00:57:06.260,00:57:12.683
00:57:12.683,00:57:25.320
00:57:25.320,00:57:39.168
00:57:39.168,00:57:44.923
00:57:44.923,00:57:49.386
00:57:49.386,00:57:55.559
00:57:55.559,00:57:57.769
00:57:57.769,00:58:01.481
00:58:01.481,00:58:06.361
00:58:06.361,00:58:09.072
00:58:09.072,00:58:12.618
00:58:12.618,00:58:17.623
00:58:17.623,00:58:20.667
00:58:20.667,00:58:22.085
00:58:22.085,00:58:24.713
00:58:24.713,00:58:26.256
00:58:26.256,00:58:28.967
00:58:28.967,00:58:29.885
00:58:29.885,00:58:35.724
00:58:35.724,00:59:13.762
00:59:13.762,00:59:25.148
00:59:25.148,00:59:27.901
00:59:27.901,00:59:34.491
00:59:34.491,00:59:41.248
00:59:41.248,00:59:59.016
00:59:59.016,01:00:16.783
01:00:16.783,01:00:24.291
01:00:24.291,01:00:29.838
01:00:29.838,01:00:34.885
01:00:34.885,01:00:39.014
01:00:39.014,01:00:42.392
01:00:42.392,01:00:48.398
01:00:48.398,01:00:50.567
01:00:50.567,01:00:54.571
01:00:54.571,01:00:56.198
01:00:56.198,01:00:58.867
01:00:58.867,01:01:00.244
01:01:00.244,01:01:06.458
01:01:06.458,01:01:09.211
01:01:09.211,01:01:11.380
01:01:11.380,01:01:13.382
01:01:13.382,01:01:14.132
01:01:14.132,01:01:18.262
01:01:18.262,01:01:20.097
01:01:20.097,01:01:21.348
01:01:21.348,01:01:24.726
01:01:24.726,01:01:29.731
01:01:29.731,01:01:31.316
01:01:31.316,01:01:32.359
01:01:32.359,01:01:34.278
01:01:34.278,01:01:40.576
01:01:40.576,01:01:48.333
01:01:48.333,01:01:54.006
01:01:54.006,01:01:56.216
01:01:56.216,01:02:07.936
01:02:07.936,01:02:09.897
01:02:09.897,01:02:12.191
01:02:12.191,01:02:13.150
01:02:13.150,01:02:14.443
01:02:14.443,01:02:17.321
01:02:17.321,01:02:18.280
01:02:18.280,01:02:21.200
01:02:21.200,01:02:23.493
01:02:23.493,01:02:24.536
01:02:24.536,01:02:25.287
01:02:25.287,01:02:26.205
01:02:26.205,01:02:27.331
01:02:27.331,01:02:28.207
01:02:28.207,01:02:34.463
01:02:34.463,01:02:35.923
01:02:35.923,01:02:42.554
01:02:42.554,01:02:43.680
01:02:43.680,01:02:50.687
01:02:50.687,01:02:51.563
01:02:51.563,01:02:52.940
01:02:52.940,01:02:59.071
01:02:59.071,01:03:00.531
01:03:00.531,01:03:03.033
01:03:03.033,01:03:04.743
01:03:04.743,01:03:06.370
01:03:06.370,01:03:08.205
01:03:08.205,01:03:10.207
01:03:10.207,01:03:12.835
01:03:12.835,01:03:15.379
01:03:15.379,01:03:20.843
01:03:20.843,01:03:44.199
01:03:44.199,01:03:52.791
01:03:52.791,01:03:54.168
01:03:54.168,01:03:57.045
01:03:57.045,01:04:03.177
01:04:03.177,01:04:04.386
01:04:04.386,01:04:06.138
01:04:06.138,01:04:08.807
01:04:08.807,01:04:09.975
01:04:09.975,01:04:12.603
01:04:12.603,01:04:15.105
01:04:15.105,01:04:16.148
01:04:16.148,01:04:18.984
01:04:18.984,01:04:22.613
01:04:22.613,01:04:24.907
01:04:24.907,01:04:38.170
01:04:38.170,01:04:43.050
01:04:43.050,01:04:46.053
01:04:46.053,01:04:50.599
01:04:50.599,01:04:53.602
01:04:53.602,01:04:55.604
01:04:55.604,01:05:02.986
01:05:02.986,01:05:17.751
01:05:17.751,01:05:23.841
01:05:23.841,01:05:25.384
01:05:25.384,01:05:40.691
01:05:40.691,01:05:41.567
01:05:41.567,01:05:43.986
01:05:43.986,01:05:46.280
01:05:46.280,01:06:02.337
01:06:02.337,01:06:05.048
01:06:05.048,01:06:05.841
01:06:05.841,01:06:22.357
01:06:22.357,01:06:29.948
01:06:29.948,01:06:31.992
01:06:31.992,01:06:48.425
01:06:48.425,01:06:50.052
01:06:50.052,01:06:51.178
01:06:51.178,01:06:53.388
01:06:53.388,01:06:54.765
01:06:54.765,01:06:56.350
01:06:56.350,01:06:57.184
01:06:57.184,01:06:59.728
01:06:59.728,01:07:00.395
01:07:00.395,01:07:02.022
01:07:02.022,01:07:05.609
01:07:05.609,01:07:11.990
01:07:11.990,01:07:13.116
01:07:13.116,01:07:14.159
01:07:14.159,01:07:17.412
01:07:17.412,01:07:19.122
01:07:19.122,01:07:22.751
01:07:22.751,01:07:27.089
01:07:27.089,01:07:35.347
01:07:35.347,01:07:40.644
01:07:40.644,01:07:43.355
01:07:43.355,01:08:02.916
01:08:02.916,01:08:10.257
01:08:10.257,01:08:14.344
01:08:14.344,01:08:20.851
01:08:20.851,01:08:22.144
01:08:22.144,01:08:40.746
01:08:40.746,01:08:46.627
01:08:46.627,01:08:49.046
01:08:49.046,01:08:51.632
01:08:51.632,01:08:54.134
01:08:54.134,01:08:55.010
01:08:55.010,01:08:56.803
01:08:56.803,01:08:57.804
01:08:57.804,01:09:00.682
01:09:00.682,01:09:02.017
01:09:02.017,01:09:03.519
01:09:03.519,01:09:04.520
01:09:04.520,01:09:05.771
01:09:05.771,01:09:07.022
01:09:07.022,01:09:09.650
01:09:09.650,01:09:13.695
01:09:13.695,01:09:14.655
01:09:14.655,01:09:37.511
01:09:37.511,01:09:47.896
01:09:47.896,01:09:48.981
01:09:48.981,01:09:52.067
